task_id,title,description,stage,week,due_date_offset_days,default_assignee,category,priority,is_premium,sort_order,time_estimate_minutes,related_article_slug,is_time_sensitive,window_weeks,commonly_completed_early,why_it_matters,catch_up_behavior
PREG-W08-002,Morning Sickness Management,"Stock ginger ale, crackers, peanut butter, and water — not just at home. Put supplies in her car, on her office desk, in her purse, and in her bag. Dehydration from morning sickness can lead to ER visits for IV fluids. Keep water bottles everywhere she goes.",first-trimester,8,-224,dad,health,must-do,False,182,30,,False,4,True,"Morning sickness hits unpredictably — at home, in the car, at work. If supplies are only at home, she has nothing when it strikes elsewhere. One dad learned this the hard way after an ER visit for dehydration that could have been avoided.",likely_done
PREG-W08-001,Select OB-GYN/Midwife,Research and select a provider. Confirm they have privileges at your desired delivery hospital or birth center.,first-trimester,8,-224,mom,health,must-do,False,2,60,week-8-the-first-ultrasound,False,4,True,"This person delivers your baby. You'll see them 12-15 times over 9 months. If you don't like them or they don't have privileges at your preferred hospital, switching mid-pregnancy is stressful and sometimes not possible. Interview at least 2 providers and confirm hospital affiliations before committing.",likely_done
PREG-W10-002,Start Prenatal Vitamins,"Begin taking a prenatal vitamin with at least 400mcg folic acid, DHA. Folic acid is critical for neural tube development in the first 12 weeks. If prenatal vitamins cause nausea, try taking them at night with food or switch to gummy versions. Your OB can recommend a specific brand.",first-trimester,10,-210,mom,health,must-do,False,125,30,,False,4,True,"Folic acid prevents neural tube defects like spina bifida, and the critical window is the first 12 weeks — often before many women even know they're pregnant. Starting now means you're already in the protection window. Every day counts.

💡 Dad Tip: Ask your OB about iron level testing early. Iron deficiency is common in pregnancy and supplements can cause constipation — pace them out. Take iron with something citric (orange juice, lemon water) to boost absorption.",likely_done
PREG-W10-003,First Prenatal Appointment,"Schedule and attend the first prenatal checkup with your OB-GYN. This typically happens around week 8-10 and includes a dating ultrasound, blood work, and medical history review. The baby went from looking like a dinosaur to a proper human on screen — it blew my mind. Dad should attend this one.",first-trimester,10,-210,mom,health,must-do,False,126,30,,False,4,True,"This appointment confirms the pregnancy is viable, dates it accurately, and catches ectopic pregnancies early. The dating ultrasound sets your due date — everything else (screenings, leave timing, hospital prep) flows from this date.",likely_done
PREG-W10-001,Verify Prenatal Insurance,"Call insurer to confirm coverage details for prenatal visits, ultrasounds, and delivery. Ask about deductible and out-of-pocket maximums.",first-trimester,10,-210,dad,admin,must-do,False,0,30,week-10-the-genetic-testing-decision,False,8,True,"Delivery costs $5,000-$15,000+ even with insurance. If your provider is out-of-network or certain tests aren't covered, you won't know until the bill arrives. One phone call now prevents a financial surprise later.",likely_done
PREG-W10-004,First Trimester Fatigue Support,"Her body is building an entirely new organ (the placenta) while supporting rapid cell division — she is running a metabolic marathon while sitting on the couch. Let her sleep. Take over evening cooking, cleaning, and errands. Some women develop intense food and smell aversions — if she suddenly can't stand your favorite meal, eat it outside the house.",first-trimester,10,-210,either,health,good-to-do,False,183,30,,False,4,True,"Her body is doing the equivalent of running a marathon every day — building a placenta, supporting rapid cell division, and redirecting blood flow. This is not laziness. If you don't pick up the slack on evening chores and errands now, resentment builds before the baby even arrives.

💡 Dad Tip: Empathy and patience are your best tools right now. Hormonal shifts can cause sudden mood and behavior changes — this isn't laziness or drama. Don't challenge her with logic; she's processing things differently right now. Be present, take over chores, and resist any impulsive reactions.",likely_done
PREG-W12-005,Workplace Announcement Timing,Plan when and how to tell your employer about the pregnancy. Most people wait until after the first trimester screening. Check your company's parental leave policy first so you know your rights before the conversation. For dads: tell your manager early enough to plan coverage but not so early it becomes office gossip before you're ready.,first-trimester,12,-196,either,admin,good-to-do,False,127,20,,False,8,False,"Telling your employer on your timeline (not when someone notices a belly) gives you control of the conversation. It also triggers the clock for HR paperwork — some companies require 30 days' notice for leave benefits, and knowing this deadline prevents losing benefits.",catch_up
PREG-W12-003,Genetic Screening Decision,Discuss with OB-GYN whether to proceed with NIPT (Non-Invasive Prenatal Testing) or carrier screening.,first-trimester,12,-196,mom,health,good-to-do,False,7,15,week-10-the-genetic-testing-decision,False,4,False,"Some conditions detected by genetic screening are time-sensitive — early detection opens up more options for further testing, specialist consultations, and informed decision-making. Waiting until the second trimester to decide narrows your window.

💡 Dad Tip: This is optional. Research it, talk to your OB, and get the facts — but only pursue testing if your doctor recommends it. Let medical experts guide this decision, not opinions.",catch_up
PREG-W12-004,Announce Pregnancy,"Share the news with family, friends, and employer after first trimester screening results come back. Most couples wait until after the NT scan (weeks 12-13) to reduce the risk of having to share bad news. Plan how you want to tell people — in person, group text, social media — and agree with your partner on timing.",first-trimester,12,-196,either,magic,good-to-do,False,121,10,,False,99,False,"Telling people before the 12-week mark means telling them again if something goes wrong. After the first-trimester screening results come back, the miscarriage risk drops significantly. Most couples wait until this point — but it's a personal decision.

💡 Dad Tip: Discuss the announcement plan with your partner first. She may want to plan something special — or she may want you to handle it. Either way, don't share the news or start planning without her input. Stay in sync.",likely_done
PREG-W12-001,Schedule Nuchal Translucency,"Book the NT scan (screening for chromosomal abnormalities like Down syndrome) which must occur between weeks 11 and 14 — the window is narrow and appointments fill fast. This ultrasound measures fluid at the back of baby's neck combined with a blood test. Results are a risk probability, not a diagnosis. Discuss with your provider what you'd do with different results before the scan.",first-trimester,12,-196,mom,health,must-do,False,1,10,week-12-the-safe-zone,True,2,False,"The NT scan window closes at 14 weeks — miss it and you lose this screening option entirely. Combined with blood work, it gives an early risk assessment for chromosomal conditions, giving you more time for decision-making if results are concerning.

💡 Dad Tip: Feeling nervous before the scan is completely normal — butterflies and anxiety hit every parent. Statistically, the vast majority of results come back normal. Be there, support her, and trust the process.",expired
PREG-W12-002,Daycare Waitlist Application,Identify top 3 daycare centers. Submit deposits and applications immediately as waitlists can exceed 12 months.,first-trimester,12,-196,dad,education,good-to-do,False,4,90,week-12-the-safe-zone,False,6,True,"In metro areas, daycare waitlists run 9-18 months. If you wait until the baby is born to apply, you won't have a spot when parental leave ends. Apply at week 12 — even if it feels absurdly early.

💡 Dad Tip: This is optional, but worth considering now if daycare is in your future. Waitlists at good facilities can be 6-12 months, so early research pays off.",catch_up
PREG-W12-006,Early Announcement Photos,"Plan a creative pregnancy announcement photo or video if desired. Popular options: a pair of baby shoes next to adult shoes, a bun in the oven, a custom onesie reveal, or a photo of the ultrasound. Do this before sharing the news widely so you have the content ready to post.",first-trimester,12,-196,either,magic,good-to-do,True,184,10,,False,99,False,"A planned announcement photo or video lets you share the news on your own terms. If you wait, family members who find out first may spread the news before you're ready. Having content prepared means you control the narrative and timing.",catch_up
PREG-W14-003,Pregnancy App Setup,"Download a pregnancy tracking app like The Dad Center, Ovia, or What to Expect for weekly development updates and appointment reminders. Dad-specific apps help you understand what's happening each week without medical jargon. Set up notifications so you don't miss key milestones or prep windows.",second-trimester,14,-182,either,admin,good-to-do,False,185,20,,False,8,True,"Pregnancy tracking apps give week-by-week context on what's happening developmentally. Without it, every new symptom triggers a Google spiral. An app delivers curated, timeline-relevant information instead of random search results.",likely_done
PREG-W14-002,Second Trimester Exercise Plan,"Discuss safe exercise options with your provider. Prenatal yoga, swimming, and walking are generally safe throughout pregnancy. Avoid exercises that involve lying flat on your back after week 20, high-impact sports, or anything with a fall risk. Exercise reduces swelling, improves sleep, and can make labor shorter.",second-trimester,14,-182,mom,health,good-to-do,False,128,30,,False,4,False,"Regular exercise during pregnancy reduces swelling, improves sleep, decreases back pain, and can shorten labor. Women who exercise regularly report easier recoveries. Even 30 minutes of walking per day makes a measurable difference.

💡 Dad Tip: Check with your OB on which exercises are safe. Walking is almost always a great option. Avoid anything with fall risk or sudden impact.",catch_up
PREG-W14-001,Maternity Bra Fitting,"Get professionally fitted for maternity bras as breast size changes — most women go up 1-2 cup sizes during pregnancy. Wireless, soft-cup styles with wide straps are most comfortable. Buy 2-3 in different styles. Consider nursing bras now (with drop-down clips) so you don't have to rebuy after delivery. Comfort is critical — you'll wear these 24/7.",second-trimester,14,-182,mom,gear,must-do,False,122,30,,False,12,False,"Breast size can change 1-3 cup sizes during pregnancy. Wearing a too-tight bra restricts blood flow and can compress developing milk ducts. A well-fitted maternity bra now saves you from buying nursing bras later if you choose ones that convert.

💡 Dad Tip: She'll wear this daily through pregnancy and postpartum. A proper fitting now saves discomfort later — this is a must-do, not a luxury.",likely_done
PREG-W16-004,Baby Name Brainstorm,"Start discussing potential baby names with your partner. Create a shared list (Google Doc or app) where both of you can add and veto names. Check meaning, initials (avoid unfortunate acronyms), and how the name sounds with your last name. Most couples need months to agree, so start early.",second-trimester,16,-168,either,magic,good-to-do,False,129,10,,False,99,False,"Baby name discussions take longer than you think. Family expectations, cultural significance, spelling debates, and veto power on both sides mean the process can drag for months. Starting early means you have a name ready when the baby arrives instead of arguing in the hospital.",catch_up
